,Company,Q1 Date,Q1 Price,Q2 Date,Q2 Price,Q3 Date,Q3 Price
0,DOCU,2020-01-31,78.51,2020-04-30,104.75,2020-07-31,216.83
1,ZM,2020-01-31,76.3,2020-04-30,135.17,2020-07-31,253.91
2,DXCM,2019-12-31,218.74,2020-03-31,269.27,2020-06-30,405.4
3,SPLK,2020-01-31,155.26,2020-04-30,140.36,2020-07-31,209.82
4,SGEN,2019-12-31,114.26,2020-03-31,115.38,2020-06-30,169.92
5,CDW,2019-12-31,141.4539,2020-03-31,92.6278,2020-06-30,115.7828
6,INTC,2019-12-28,,2020-03-28,,2020-06-27,
7,XEL,2019-12-31,62.6646,2020-03-31,59.9016,2020-06-30,62.5
8,GILD,2019-12-31,63.8124,2020-03-31,74.1004,2020-06-30,76.94
9,TTWO,2019-12-31,122.43,2020-03-31,118.61,2020-06-30,139.57
10,CHTR,2019-12-31,485.08,2020-03-31,436.31,2020-06-30,510.04
11,ASML,2019-09-29,,2019-12-31,294.449,2020-03-28,
12,FISV,2019-12-31,115.63,2020-03-31,94.99,2020-06-30,97.62
13,AMAT,2020-01-26,,2020-04-26,,2020-07-26,
14,MXIM,2019-12-28,,2020-03-28,,2020-06-27,
15,MU,2020-02-27,50.58,2020-05-28,46.47,2020-09-03,46.330002
16,CTSH,2019-12-31,61.3655,2020-03-31,46.1254,2020-06-30,56.6331
17,PCAR,2019-12-31,78.1191,2020-03-31,60.6293,2020-06-30,74.5797
18,PYPL,2019-12-31,108.17,2020-03-31,95.74,2020-06-30,174.23
19,INCY,2019-12-31,87.32,2020-03-31,73.23,2020-06-30,103.97
20,JD,2019-12-31,35.23,2020-03-31,40.5,2020-05-15,50.85
21,WBA,2020-02-29,,2020-05-31,,2020-08-31,38.02
22,COST,2020-02-16,,2020-05-10,,2020-08-30,
23,GOOG,2019-12-31,1337.02,2020-03-31,1162.8101,2020-06-30,1413.61
24,NXPI,2019-12-31,126.2773,2020-03-29,,2020-06-28,
25,TSLA,2019-12-31,83.666,2020-03-31,104.800003,2020-06-30,215.962006
26,REGN,2019-12-31,375.48,2020-03-31,488.29,2020-06-30,623.65
27,FB,2019-12-31,205.25,2020-03-31,166.8,2020-06-30,227.07
28,TXN,2020-03-31,98.4772,2020-06-30,126.1019,2020-09-30,142.789993
29,TCOM,2019-06-30,,2019-09-25,32.15,2019-12-31,33.54
30,CHKP,2020-03-31,100.54,2020-04-27,108.09,2020-06-30,107.43
31,CERN,2019-12-28,,2020-03-31,62.6495,2020-06-30,68.55
32,EA,2019-12-31,107.51,2020-03-31,100.17,2020-06-30,132.05
33,INTU,2020-01-31,279.298,2020-04-30,269.3493,2020-07-31,306.37
34,ADP,2019-12-31,168.4635,2020-03-31,135.8829,2020-06-30,148.89
35,VRTX,2019-12-31,218.95,2020-03-31,237.95,2020-06-30,290.31
36,ISRG,2020-03-31,495.21,2020-06-30,569.83,2020-09-30,709.539978
37,EXPE,2019-12-31,107.7397,2020-03-31,56.27,2020-06-30,82.2
38,CMCSA,2019-12-31,44.2059,2020-03-31,34.1769,2020-06-30,38.98
39,AMZN,2019-12-31,1847.84,2020-03-31,1949.72,2020-06-30,2758.8201
40,SBUX,2019-12-29,,2020-03-29,,2020-06-28,
41,BIIB,2020-03-31,316.38,2020-06-30,267.55,2020-09-30,283.679993
42,VRSN,2020-03-31,180.09,2020-06-30,206.83,2020-09-30,204.850006
43,DLTR,2020-02-01,,2020-05-02,,2020-08-01,
44,XLNX,2020-03-28,,2020-06-27,,2020-09-26,
45,SNPS,2020-01-31,147.51,2020-04-30,157.12,2020-07-31,199.22
46,ROST,2020-02-01,,2020-05-02,,2020-08-01,
47,MSFT,2019-12-31,156.4554,2020-03-31,156.8927,2020-06-30,203.0192
48,MCHP,2019-12-31,103.5805,2020-03-31,67.2871,2020-06-30,104.9516
49,IDXX,2019-12-31,261.13,2020-03-31,242.24,2020-06-30,330.16
50,FAST,2020-03-31,30.8636,2020-06-30,42.6059,2020-09-30,45.09
51,CTAS,2020-02-29,,2020-05-31,,2020-08-31,333.23999
52,AAPL,2019-12-28,,2020-03-28,,2020-06-27,
53,AMGN,2019-12-31,236.1794,2020-03-31,200.0271,2020-06-30,234.2906
54,ADBE,2020-02-28,345.12,2020-05-29,386.6,2020-08-28,516.440002
55,PDD,2019-12-31,37.82,2020-03-31,36.03,2020-06-30,85.84
56,MRNA,2019-12-31,19.56,2020-03-31,29.95,2020-06-30,64.21
57,CPRT,2020-01-31,101.46,2020-04-30,80.11,2020-07-31,93.25
58,ANSS,2019-12-31,257.41,2020-03-31,232.47,2020-06-30,291.73
59,EXC,2019-12-31,44.3149,2020-03-31,36.0546,2020-06-30,35.9309
60,FOXA,2019-12-31,36.5006,2020-03-31,23.4349,2020-06-30,26.5986
61,FOX,2019-09-30,31.0528,2019-12-31,35.8377,2020-03-31,22.6907
62,LULU,2020-02-02,,2020-05-03,,2020-08-02,
63,AMD,2019-12-28,,2020-03-28,,2020-06-27,
64,PEP,2020-03-21,,2020-06-13,,2020-09-05,
65,KHC,2019-12-28,,2020-03-28,,2020-06-27,
66,WDAY,2020-01-31,184.63,2020-04-30,153.9,2020-07-31,180.92
67,LBTYA,2019-12-31,22.74,2020-03-31,16.51,2020-06-30,21.86
68,ALGN,2019-12-31,279.04,2020-03-31,173.95,2020-06-30,274.44
69,MELI,2019-12-31,571.94,2020-03-31,488.58,2020-06-30,985.77
70,NTES,2019-11-30,,2019-12-31,303.9602,2020-03-31,319.1595
71,CSX,2020-03-31,56.9027,2020-06-30,69.502,2020-09-30,77.669998
72,ULTA,2020-02-01,,2020-05-02,,2020-08-01,
73,TMUS,2019-12-31,78.42,2020-03-31,83.9,2020-06-30,104.15
74,SWKS,2019-12-27,120.9213,2020-03-27,86.4491,2020-06-26,125.4141
75,BMRN,2019-12-31,84.55,2020-03-31,84.5,2020-06-30,123.34
76,LBTYK,2019-12-31,21.8,2020-03-31,15.71,2020-06-30,21.51
77,EBAY,2019-12-31,35.7095,2020-03-31,29.863,2020-06-30,52.2954
78,BIDU,2019-11-13,118.29,2019-12-31,126.4,2020-05-20,108.52
79,MAR,2019-12-31,150.8252,2020-03-31,74.81,2020-06-30,85.73
80,CTXS,2019-12-31,110.2703,2020-03-31,141.195,2020-06-30,147.91
81,WDC,2020-01-03,63.7746,2020-04-03,38.21,2020-07-03,
82,VRSK,2019-12-31,148.8268,2020-03-31,139.1487,2020-06-30,170.2
83,QCOM,2019-12-29,,2020-03-29,,2020-06-28,
84,ADI,2020-02-01,,2020-05-02,,2020-08-01,
85,MDLZ,2019-12-31,54.4406,2020-03-31,49.795,2020-06-30,51.13
86,CDNS,2020-03-28,,2020-06-27,,2020-09-26,
87,AVGO,2020-02-02,,2020-05-03,,2020-08-02,
88,ALXN,2019-12-31,108.15,2020-03-31,89.79,2020-06-30,112.24
89,NFLX,2020-03-31,375.5,2020-06-30,455.04,2020-09-30,500.029999
90,BKNG,2019-12-31,2053.73,2020-03-31,1345.3199,2020-06-30,1592.34
91,ORLY,2019-12-31,438.26,2020-03-31,301.05,2020-06-30,421.67
92,ILMN,2019-12-29,,2020-03-29,,2020-06-28,
93,MNST,2019-12-31,63.55,2020-03-31,56.26,2020-06-30,69.32
94,GOOGL,2019-12-31,1339.39,2020-03-31,1161.95,2020-06-30,1418.05
95,ATVI,2019-12-31,59.0318,2020-03-31,59.0914,2020-06-30,75.9
96,SIRI,2019-12-31,7.105,2020-03-31,4.9178,2020-06-30,5.8571
97,LRCX,2019-12-29,,2020-03-29,,2020-06-28,
98,NVDA,2020-01-26,,2020-04-26,,2020-07-26,
99,PAYX,2020-02-29,,2020-05-31,,2020-08-31,76.470001
100,KLAC,2019-12-31,175.6855,2020-03-31,142.4356,2020-06-30,193.6463
101,CSCO,2020-01-25,,2020-04-25,,2020-07-25,
102,ADSK,2020-01-31,196.85,2020-04-30,187.13,2020-07-31,236.43
